internal_ean,name_pt,brand,base_cost,action_needed
INT_016A01,Pulverizador 2L PRO,AliTools,2.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0309EB,Enxada Meia Lua Turquel,AliTools,6.6700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_03446D,Luva pele genuína branca tipo chefe,AliTools,1.0300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_03AA2B,Foice Meia lua com Galho,AliTools,9.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_03EFF0,Abraçadeira Plst branco -saco100pcs,AliTools,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_04159D,Capa de chuva em PU,AliTools,9.9900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_04F05B,Jardineira de trabalho azul marinho,AliTools,5.1800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_05FADB,Jogo de chaves 46 Pcs - CRV,AliTools,11.8400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_062748,Óculos de proteção 100% transparentes,FERMAN,0.4100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_08F6B9,Cabo de bateria 600A profissional - 4 metros,AliTools,8.1400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_09A39B,Viseira de proteção em rede com ajuste,FERMAN,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0B473D,Talocha esponja Laranja 280x140x20mm,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0C0CE1,Talocha 120x500 prof. de inox lisa T/Inox - cabo de madeira,AliTools Professional,4.3600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0D4AE9,Talocha 125x300 prof. de aço dentada 8x8 - T/Inox - cabo de borracha,AliTools Professional,2.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0DFB1B,Alicate telefonista pontas chatas profissional,AliTools,1.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0F130B,Enxada Mato Redonda,AliTools,10.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_0F7606,Pá Corta Raízes,AliTools,12.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_145255,Corrente branca e vermelha 8mmx25mts,AliTools,14.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1491EC,Enxada castelo Branco,AliTools,9.4800,VERIFICAR CSV e CRIAR VARIANTES se necessário
